nbthreads    speedup
1            1.000
2            1.868
3            2.655
4            3.207
5            3.876
6            4.610
7            5.334
8            5.825
9            6.272
10           6.490
11           6.770
12           7.149
13           7.112
14           8.039
15           7.971
16           8.312
17           9.047
18           9.313
19           9.986
20           10.477
21           11.184
22           11.622
23           12.133
24           12.673
25           12.697
26           12.900
27           12.968
28           13.005
29           13.587
30           13.440
31           13.976
32           13.962
